ProductKey,ProductName,CategoryKey,Category,SubcategoryKey,Subcategory,Brand,Color,StandardCost,ListPrice
1,Bicicleta Urbanas Contoso 001,3,Bicicletas,31,Urbanas,Contoso,Blanco,702.26,977.10
2,Servicio Mantenimiento Tailspin 002,10,Servicios,102,Mantenimiento,Tailspin,Rojo,408.00,684.57
3,Componente Ruedas Northwind 003,7,Componentes,73,Ruedas,Northwind,Amarillo,741.84,1075.02
4,Bicicleta Ruta Fabrikam 004,1,Bicicletas,14,Ruta,Fabrikam,Rojo,687.44,1093.05
5,Accesorio Guantes Contoso 005,5,Accesorios,55,Guantes,Contoso,Gris,281.77,425.45
6,Accesorio Cascos Fabrikam 006,4,Accesorios,46,Cascos,Fabrikam,Azul,772.56,1035.69
7,Ropa Chaquetas WideWorld 007,9,Ropa,97,Chaquetas,WideWorld,Amarillo,828.85,1222.57
8,Ropa Chaquetas Northwind 008,9,Ropa,98,Chaquetas,Northwind,Amarillo,369.12,577.19
9,Bicicleta Ruta Contoso 009,1,Bicicletas,10,Ruta,Contoso,Naranja,794.15,1300.29
10,Ropa Chaquetas Contoso 010,9,Ropa,91,Chaquetas,Contoso,Verde,198.13,293.01
11,Bicicleta Ruta Adventure 011,1,Bicicletas,12,Ruta,Adventure,Amarillo,454.12,602.61
12,Servicio Mantenimiento Fabrikam 012,10,Servicios,103,Mantenimiento,Fabrikam,Naranja,513.54,893.64
13,Ropa Jerseys Fabrikam 013,8,Ropa,84,Jerseys,Fabrikam,Azul,230.65,414.00
14,Servicio Mantenimiento Tailspin 014,10,Servicios,105,Mantenimiento,Tailspin,Negro,544.24,707.17
15,Bicicleta Montaña WideWorld 015,2,Bicicletas,26,Montaña,WideWorld,Blanco,793.71,1228.56
16,Bicicleta Ruta Contoso 016,1,Bicicletas,17,Ruta,Contoso,Azul,478.72,649.94
17,Componente Frenos Contoso 017,6,Componentes,68,Frenos,Contoso,Amarillo,135.70,207.46
18,Accesorio Cascos Adventure 018,4,Accesorios,40,Cascos,Adventure,Amarillo,280.70,428.31
19,Accesorio Cascos Contoso 019,4,Accesorios,41,Cascos,Contoso,Naranja,593.02,810.02
20,Bicicleta Urbanas Adventure 020,3,Bicicletas,32,Urbanas,Adventure,Naranja,420.62,676.13
21,Ropa Jerseys WideWorld 021,8,Ropa,83,Jerseys,WideWorld,Rojo,565.74,882.74
22,Bicicleta Ruta Adventure 022,1,Bicicletas,14,Ruta,Adventure,Gris,234.69,335.22
23,Componente Ruedas Adventure 023,7,Componentes,75,Ruedas,Adventure,Blanco,406.22,539.51
24,Ropa Chaquetas Contoso 024,9,Ropa,96,Chaquetas,Contoso,Amarillo,834.09,1495.96
25,Servicio Mantenimiento Adventure 025,10,Servicios,107,Mantenimiento,Adventure,Amarillo,376.29,502.73
26,Ropa Chaquetas WideWorld 026,9,Ropa,98,Chaquetas,WideWorld,Amarillo,499.52,738.61
27,Servicio Mantenimiento Fabrikam 027,10,Servicios,100,Mantenimiento,Fabrikam,Rojo,16.71,21.86
28,Ropa Chaquetas Contoso 028,9,Ropa,91,Chaquetas,Contoso,Gris,190.18,334.05
29,Accesorio Guantes Northwind 029,5,Accesorios,52,Guantes,Northwind,Amarillo,660.85,843.68
30,Ropa Jerseys Adventure 030,8,Ropa,83,Jerseys,Adventure,Naranja,736.57,1144.89
31,Servicio Mantenimiento WideWorld 031,10,Servicios,104,Mantenimiento,WideWorld,Rojo,715.87,1282.51
32,Servicio Mantenimiento WideWorld 032,10,Servicios,105,Mantenimiento,WideWorld,Naranja,406.61,697.35
33,Bicicleta Ruta Fabrikam 033,1,Bicicletas,16,Ruta,Fabrikam,Naranja,568.35,890.84
34,Componente Frenos Fabrikam 034,6,Componentes,67,Frenos,Fabrikam,Gris,767.92,1294.31
35,Accesorio Guantes WideWorld 035,5,Accesorios,58,Guantes,WideWorld,Rojo,812.64,1103.49
36,Bicicleta Urbanas WideWorld 036,3,Bicicletas,30,Urbanas,WideWorld,Verde,161.36,259.95
37,Servicio Mantenimiento Tailspin 037,10,Servicios,101,Mantenimiento,Tailspin,Negro,617.58,786.72
38,Ropa Chaquetas Adventure 038,9,Ropa,92,Chaquetas,Adventure,Verde,781.39,1338.41
39,Servicio Mantenimiento Fabrikam 039,10,Servicios,103,Mantenimiento,Fabrikam,Blanco,696.36,1122.66
40,Componente Frenos Adventure 040,6,Componentes,64,Frenos,Adventure,Negro,334.39,415.33
41,Bicicleta Ruta WideWorld 041,1,Bicicletas,15,Ruta,WideWorld,Amarillo,542.64,695.86
42,Accesorio Cascos Tailspin 042,4,Accesorios,46,Cascos,Tailspin,Gris,699.61,1016.82
43,Bicicleta Ruta WideWorld 043,1,Bicicletas,17,Ruta,WideWorld,Amarillo,106.34,138.40
44,Ropa Jerseys Northwind 044,8,Ropa,88,Jerseys,Northwind,Verde,674.95,914.69
45,Componente Ruedas Fabrikam 045,7,Componentes,70,Ruedas,Fabrikam,Rojo,694.57,1257.85
46,Accesorio Cascos Northwind 046,4,Accesorios,41,Cascos,Northwind,Rojo,292.81,521.99
47,Bicicleta Urbanas Northwind 047,3,Bicicletas,32,Urbanas,Northwind,Azul,352.83,444.66
48,Bicicleta Urbanas WideWorld 048,3,Bicicletas,33,Urbanas,WideWorld,Naranja,715.92,1296.63
49,Bicicleta Montaña Northwind 049,2,Bicicletas,24,Montaña,Northwind,Gris,243.06,399.49
50,Bicicleta Urbanas Fabrikam 050,3,Bicicletas,35,Urbanas,Fabrikam,Blanco,155.39,205.24
51,Componente Ruedas Contoso 051,7,Componentes,76,Ruedas,Contoso,Amarillo,588.91,904.18
52,Bicicleta Ruta WideWorld 052,1,Bicicletas,17,Ruta,WideWorld,Azul,540.42,871.90
53,Componente Ruedas Contoso 053,7,Componentes,78,Ruedas,Contoso,Verde,819.31,1018.10
54,Ropa Chaquetas Tailspin 054,9,Ropa,90,Chaquetas,Tailspin,Negro,224.57,356.94
55,Bicicleta Montaña WideWorld 055,2,Bicicletas,21,Montaña,WideWorld,Rojo,179.28,264.41
56,Ropa Jerseys WideWorld 056,8,Ropa,82,Jerseys,WideWorld,Naranja,324.70,532.31
57,Servicio Mantenimiento Tailspin 057,10,Servicios,103,Mantenimiento,Tailspin,Gris,694.62,892.72
58,Servicio Mantenimiento Contoso 058,10,Servicios,104,Mantenimiento,Contoso,Naranja,232.58,344.37
59,Componente Frenos Fabrikam 059,6,Componentes,65,Frenos,Fabrikam,Amarillo,762.43,1246.19
60,Bicicleta Montaña Northwind 060,2,Bicicletas,26,Montaña,Northwind,Gris,181.68,327.98
61,Bicicleta Montaña Northwind 061,2,Bicicletas,27,Montaña,Northwind,Amarillo,455.85,785.41
62,Bicicleta Ruta Tailspin 062,1,Bicicletas,18,Ruta,Tailspin,Rojo,163.31,212.99
63,Accesorio Guantes Tailspin 063,5,Accesorios,50,Guantes,Tailspin,Amarillo,810.97,1037.25
64,Servicio Mantenimiento Northwind 064,10,Servicios,101,Mantenimiento,Northwind,Rojo,22.84,28.85
65,Bicicleta Urbanas Adventure 065,3,Bicicletas,32,Urbanas,Adventure,Verde,347.80,435.88
66,Servicio Mantenimiento Contoso 066,10,Servicios,103,Mantenimiento,Contoso,Gris,455.49,629.27
67,Bicicleta Urbanas WideWorld 067,3,Bicicletas,34,Urbanas,WideWorld,Rojo,255.69,469.72
68,Servicio Mantenimiento Northwind 068,10,Servicios,105,Mantenimiento,Northwind,Amarillo,667.28,833.76
69,Componente Ruedas Contoso 069,7,Componentes,76,Ruedas,Contoso,Gris,803.32,987.38
70,Ropa Chaquetas Fabrikam 070,9,Ropa,97,Chaquetas,Fabrikam,Azul,325.87,491.95
71,Accesorio Guantes Fabrikam 071,5,Accesorios,58,Guantes,Fabrikam,Verde,359.73,472.56
72,Bicicleta Ruta WideWorld 072,1,Bicicletas,10,Ruta,WideWorld,Verde,186.38,333.54
73,Ropa Jerseys Adventure 073,8,Ropa,81,Jerseys,Adventure,Negro,429.01,568.53
74,Ropa Jerseys Adventure 074,8,Ropa,82,Jerseys,Adventure,Azul,119.33,205.16
75,Accesorio Cascos WideWorld 075,4,Accesorios,43,Cascos,WideWorld,Negro,715.14,1057.22
76,Bicicleta Ruta Fabrikam 076,1,Bicicletas,14,Ruta,Fabrikam,Gris,153.02,189.90
77,Ropa Chaquetas Adventure 077,9,Ropa,95,Chaquetas,Adventure,Negro,513.04,806.09
78,Componente Frenos Contoso 078,6,Componentes,66,Frenos,Contoso,Amarillo,664.70,1150.21
79,Bicicleta Montaña Tailspin 079,2,Bicicletas,27,Montaña,Tailspin,Azul,679.25,830.26
80,Servicio Mantenimiento Tailspin 080,10,Servicios,108,Mantenimiento,Tailspin,Naranja,303.75,445.67
